油麻,芝麻
菜栽,菜苗
沃水,浇水
布田,插秧
落种,播种
拍粟,脱粒
应肥,施肥
挽草,除草
割粙,割稻子
总草,把草捆成小捆
曝粟,晒谷子
收冬,收割季节
袋粪,垃圾
踏车,踏水车
衫裤,衣服
身底衫,贴身衫
褛,大衣
甲仔,马褂
裤橛,裤衩
朗底裤,开裆裤
外衫,外套
内衫,内衣
衫袋,衣兜
裤脚,裤腿
肚腰,肚兜
棉裘,棉袄
水鞋,雨鞋
鞋拖,拖鞋
雨遮,雨伞
动角,手杖
手环,手镯
耳勾,耳环
铰布,买布料
订衫,缝衣服
缀钮,钉扣子
钮,钮扣
颔领,领子
开胸,对襟
豆油,花生油
茶米,茶叶
豆干,豆腐
钣彼,锅巴
买咸,买菜
鸭母捻,汤圆
甜粿,年糕
菜头粿,萝卜糕
粿条,河粉
油炸粿,油条
粽球,粽子
肉圆,肉丸
眠起早顿,早餐
日昼顿,午餐
夜昏顿,晚餐
滚水,开水
食桌,吃酒席
割猪肉,买猪肉
冲茶,沏茶
截菜,切菜
食茶,喝茶
食饭,吃饭
食药,服药
啉（食）酒,喝酒
大人,长辈
奴仔,小孩
仔,儿子
走仔,女儿
新妇,媳妇
仔婿,女婿
父二母仔,一家子
之娘,女人
之娘仔,小姑娘
后生仔,小伙子
老公,曾祖父
老妈,曾祖母
阿公,祖父
阿妈,祖母
阿伯,伯父
阿叔,叔父
阿姆,伯母
阿婶,婶婶
阿姑,姑妈
阿姨,姨妈
阿丈,姑丈、姨丈
阿舅,舅父
阿妗,舅母
阿人,那个人
担家,婆婆
担官,公公
安,丈夫
亩,妻子
安姐,夫妻
丈人,岳父
丈姆,岳母
醒姆,亲家母
同门,连襟
大小姆,妯娌
妻姨,妻子的姐妹
妻舅,妻子的兄弟
耽眉仔,窝囊废
好仔,乖孩子
刺仔,二流子
漏仔,骗子
杀仔,扒手
贼仔,小偷
破家仔,败家子
痴哥鬼,色鬼
薰鬼,烟鬼
哑仔,哑巴
表盲仔,瞎子
乞食,乞丐
去读书,上学
偷走书,逃学
上堂,上课
落堂,下课
书册,课本
膏笔,圆球笔
格尺,尺子
笔盒,铅笔铅
泥尔,橡皮擦
粿板,垫板
钢笔水,墨水
上语文,上语文课
食教,信教
拜佛,信奉佛教
拜老爷,拜神
地主爷,土地神
拜老公,祭祖
睇五行,看相
头毛,头发
曲毛,卷发
面,脸
鼻空,鼻孔
目眉,眉毛
须,胡子
肩头,肩膀
身顶,身上
身肝头,胸膛
手底,手心
胶只,背
脚仓,屁股
目眯眯,眯着眼睛
嘴阔阔,张大嘴巴
摇头伴耳,摇头晃脑
比脚划手,指手划脚
达头,点头
灰转头,回头
肉脚尖,蹬脚
相拍,打架
相骂,吵架
相好,要好
唔见,丢失
个镜,一面镜子
只飞机,一架飞机
只狗,一条狗
门枪,一支枪
支灯,一盏灯
条题,一道题目
尾鱼,一条鱼
粒球,一个球
求葡萄,一串葡萄
领被,一张被子
正十,不到十
十外,十多
欢喜,高兴
激心,伤心
惊死,怕
艰苦,辛苦
老热,热闹
孬看死,很不好看
有架势,有派头
雅死,漂亮
力落,勤快
活头,灵活
猛,快
四直,整齐
排年,往年
年头,年初
年尾,年底
年脚,春节前夕
月头,月初
月尾,月底
月另中,中旬
细月,小月
今日,今天
吗日,明天
后日,后天
渣日,昨天
眠起早,早上，上午
日昼,中午
渣眠起,昨天上午
下旰,下午
蜀夜,黑夜
日昼后,中午后
今夜,今天晚上
够旰,半天
暝昏,傍晚
暝日,日夜
够日,整天
蜀日,白天
一点钟,一小时
一个字,五分钟
点搭二,一点十分
礼拜日,星期天
鬼日,几天
喜天时,过去
先摆,以前
只陈,现在
此在,现在
等下,一会儿
寡年,几年
着久,多久
五月节,端午
七月十五,中元节
八月十五,中秋
冬节,冬至
廿九夜,除夕
过年,春节
春天时,春天
热天时,夏天
热毒天时,大热天
秋天时,秋天
凝天时,冬天
靖月,冬天
鸡安,公鸡
鸡母,母鸡
鸡仔,小鸡
粉鸟,鸽子
毕婆,蝙蝠
小狗,疯狗
胡蝇,苍蝇
狗蚁,蚂蚁
刺毛风虫,毛毛虫
虱母,虱子
蠓,蚊子
草猴,螳螂
钱龙,壁虎
鱼春,鱼卵
带柳丝,小带鱼
鞋底,比目鱼
金龙,黄花鱼
划鼠,塘虱鱼
水生,牡蛎
墨斗,乌贼
沙虾,对虾的一种
蛤婆,癞蛤蟆
水鸡,青蛙
脚鱼,鳖
鱼栽,鱼苗
胡溜,泥鳅
木棉,黄雄树
红花,石榴花
午时花,太阳花
莲花,荷花
林檎,番荔枝
莲果,荔枝
木仔,番石榴
番梨,菠萝
弓蕉,香蕉
红柿,柿子
山东梨,鸭梨
杨桃,五敛子
奶瓜,木瓜
钱葱,荸荠
番葱,洋葱
番葛,甘薯
番茄,西红柿
番瓜,南瓜
吊瓜,黄瓜
秋瓜,丝瓜
角瓜,丝瓜（有棱）
网光,凉薯
荷兰薯,马铃薯
粉豆,长豆角
荷兰豆,豌豆
扁豆,蚕豆
厝,房屋
厝顶,屋顶
厝下,瓦片
房内,房间
灶下,厨房
浴房,浴室
门第,门槛
门扇后,门后面
眠床,床
写字床,书桌
饭床,饭桌
椅头,凳子
手布,手帕
面布,毛巾
灶布,洗碗巾
胶刀,剪刀
面盆,脸盆
齿漱,牙刷
口壶,口杯
饼药,肥皂
地缸,痰盂
碗橱,碗柜
箸,筷子
被单,被套
只仔,这边
许头,那边
镇中,中间
下脚,下面
喜顶,上面
正手边,右边
倒手边,左边
底边,里面
脚头,旁边
角头,角落
岂是,是不是
地珍时,什么时候
做呢,怎么
只个,这个
喜个,那个
只阵,这时
池个,谁
池块,哪里
喜珍时,那时候
头早,刚才
媒人,媒婆
挈定,定亲
落聘,下聘礼
娶牡,娶妻
新人,新娘
新人爹,新郎
欢喜,贺喜
请人,摆酒席请客
有仔,怀孕
生奴仔,生小孩
月里,坐月子
够月,满月
对岁,一周岁
过身,去逝
棺柴,棺材
睇风水,看风水
过纸,扫墓
做忌,周年祭死者
做公德,为死者超度
落神婆,巫婆
跋杯,卜吉凶
睇日,选择吉日
烧可丝,烧纸钱
做节,过节
拜老公,祭祖
财气死,运气好
人孬,生病
看医生,看病
拆药,抓药
凉水,凉茶
食凉水,喝凉茶
畏凊,发冷
官着,受凉
胶扫,咳嗽
呕,呕吐
流鼻,流鼻涕
哼鼻,擦鼻涕
猪头肥,腮腺炎
梗着,噎着
生目针,长眼疮
独目,独眼
青夜,瞎眼
棉嘴边,烂嘴角
乐毛,脱发
拐脚,瘸子
腰龟,驼背
偏枯,半身不遂
肚痛,肚子痛
漏屎,拉肚子
偷放尿,尿床
生鸡目,长鸡眼
生调,长青春痘
